@id;@lon;@lat;name;addr:city;addr:street;addr:postcode;addr:housenumber
60627242;11.1098710;49.5037384;Saalbau;Nürnberg;Kalchreuther Straße;90411;125
208706744;10.9877739;49.4779746;Walhalla;Fürth;Obstmarkt;90762;3
208706767;10.9881503;49.4786815;PanOlio;Fürth;Waagstraße;90762;2
208706840;10.9856481;49.4779444;Our Place;;;;
248725722;11.0975553;49.4623112;Asia Mai-Lan;;;;
250171946;11.0295761;49.4888792;Altes Schloß;;;;
252308290;10.9988738;49.5001363;Gasthof Weigel;;;;
252541073;11.0530462;49.4708874;Sportgaststätte Parlerhof;;Zeisigweg;;
257110687;11.0566049;49.5087030;Irrhainstuben;Nürnberg;Schiestlstraße;90427;53
260671527;10.9896388;49.4793876;Stadt Venedig;Fürth;Obere Fischerstraße;90762;8
267199502;11.0855937;49.4748244;Lutzgarten;Nürnberg;Großreuther Straße;90425;113
273523843;10.9899158;49.4561941;Pizzeria PINO;Fürth;Schwabacher Straße;90763;269
276277716;11.1306727;49.4618571;Satzinger Mühle;Nürnberg;Kirchenberg;90482;1
278555634;11.1003362;49.4605372;Chok Dee;Nürnberg;Mathildenstraße;90489;13
292088313;11.0719513;49.4730377;Lemongrass;;;;
294249360;10.9653537;49.4529638;Alte Veste - Biergarten/Terrasse;Zirndorf;Alte Veste;90513;2
294918264;11.0893717;49.4665449;Gaststätte Nordpol;Nürnberg;Kantstraße;90409;15
301667060;11.1257177;49.4635926;Pizza Pasta Pronta;Nürnberg;Flußstraße;90491;15
302040454;11.1312763;49.4595550;Osteria Mögeldorf;Nürnberg;Schmausenbuckstraße;90482;14
302345242;11.0917422;49.4776458;Gaststätte am Marienberg;Nürnberg;Braillestraße;90425;35
303058168;11.1309431;49.4617882;Bamboo Garden;Nürnberg;Kirchenberg;90482;1
304828022;11.1193529;49.4646197;Zur Post;Nürnberg;Äußere Sulzbacher Straße;90491;126
305552417;11.1021030;49.4666730;Quo Vadis;Nürnberg;Elbinger Straße;90491;28
305552494;11.1034184;49.4662419;Sanders Steakhaus;;;;
307730640;11.0883519;49.4530990;Glanz und Gloria;Nürnberg;Theodorstraße;90489;1
309716009;11.0808796;49.4478680;Gasthof Pillhofer;Nürnberg;Königstraße;90402;78
309717656;11.0806625;49.4521332;Luftsprung;Nürnberg;Unterer Bergauerplatz;90402;10
309718193;11.0795854;49.4479843;Spaghetteria della Nonna;Nürnberg;Luitpoldstraße;90402;7
311644421;11.0847956;49.4540273;Zentral-Mensa;;;;
312083359;11.1373426;49.4612830;Hot Pot;Nürnberg;Laufamholzstraße;90482;40
312493767;11.0384522;49.4396375;Pinocchio;Nürnberg;Konstanzenstraße;90439;19
315973730;11.0643885;49.4524163;Balazzo Brozzi;Nürnberg;Hochstraße;90429;2
316491087;11.1083647;49.4696295;PhoEver;;;;
318468059;11.1248926;49.4710689;Sanders Steakhaus;Nürnberg;Haydnstraße;90491;15
321794407;11.0496919;49.5114504;Alte Post;;;;
333103025;11.0968981;49.4605445;Viet-Tex-Mex;;;;
333214838;11.0695228;49.4571624;Tadsch Mahal;Nürnberg;Johannisstraße;90419;10
333214844;11.0668868;49.4579011;My Thai;Nürnberg;Johannisstraße;90419;30a
333214868;11.0780448;49.4538038;Block House;Nürnberg;Hauptmarkt;90403;12
333214900;11.0780354;49.4513572;Vapiano;;;;
335412562;11.0787419;49.4610474;La Nuova Osteria;Nürnberg;Pirckheimerstraße;90408;39
338438554;11.0778350;49.4504712;Chili's;;;;
338496669;11.0750663;49.4488192;sushi glas;Nürnberg;Kornmarkt;90402;5-7
341488033;11.0388880;49.4557612;Bühler;Nürnberg;Seeleinsbühlstraße;90431;9
348403158;10.9889686;49.4791946;Grüner Baum;;;;
354585721;10.9965295;49.4954030;Zum Seeacker;;;;
357381533;11.0777344;49.4486714;Ginger;Nürnberg;Klaragasse;90402;9
374201350;10.9893512;49.4787396;Tapas Restaurante y Bar;Fürth;Gustavstraße;90762;15
379720278;10.9931167;49.4891679;Majorka;;;;
392762143;10.9860104;49.4659467;inos;;;;
398315122;11.0750387;49.4481355;Museumscafé Arte;;;;
408495813;10.9893801;49.4777176;Schwarzes Kreuz;;;;
408495952;10.9849005;49.4797734;Zum wilden Mann;;;;
416143820;11.0594758;49.4508484;thai food II;Nürnberg;Bärenschanzstraße;90429;25
420196168;11.0737435;49.4555398;Rotes Ross;Nürnberg;Weinmarkt;90403;16
428768297;10.9900957;49.4785765;Kabuliyan;Fürth;Baldstraße;90762;2
437523346;10.9552160;49.4711752;Villenkolonie;;;;
441197076;11.0052236;49.4635893;Bologna;Fürth;Leyher Straße;90763;57
441197535;10.9937184;49.4722984;Thai-Aroi;;;;
441412981;10.9747132;49.4354607;Gelber Löwe;;;;
443147556;10.9860638;49.4702589;Karo 11;;;;
443635618;10.9959877;49.4616369;Blue Elephant;;;;
443635804;10.9987325;49.4632285;Osteria da Michele;;;;
446302429;11.1052460;49.4780080;Parmigiano;;;;
482340656;10.9375063;49.4220494;Linder Grube;;;;
489972625;11.1040275;49.4508462;Pizzeria ALLAGO;Nürnberg;Norikerstraße;90402;2
507395079;11.0926041;49.4612814;da Franco;;;;
507395083;11.0968472;49.4662601;Colosseo;;;;
512653310;10.9547759;49.4419550;Zum Bauernwirt;;;;
512653314;10.9499440;49.4393390;Cosmo's Pizza;Zirndorf;Schwabacher Straße;90513;22
513062391;11.0508321;49.4507215;Schanzenbräu Schankwirtschaft;Nürnberg;Adam-Klein-Straße;90429;27
520111402;11.0102462;49.5211261;Vereinsgaststätte SF Großgründlach;Nürnberg;Würzburger Straße;90427;61
529984317;11.0184776;49.4287306;Casino 77 NBR Betriebsrestaurant;Nürnberg;Südwestpark;90449;77
530803482;11.0685956;49.4628872;Osteria da Gianni;Nürnberg;Rückertstraße;90419;14
533796138;11.0669419;49.4706116;Sushi Luu;Nürnberg;Erlanger Straße;90425;9
534366696;11.0653609;49.4500637;Sumach Restaurant;Nürnberg;Spittlertorgraben;90429;13
539204400;10.9884626;49.4778681;Tequila;;;;
540425328;11.0645641;49.4587963;Chesmu;Nürnberg;Johannisstraße;90419;40
553050715;10.9671987;49.4416246;Jahn Stuben;;;;
553051477;10.9681589;49.5021877;Pizzeria Russolillo;;;;
565459445;10.9844148;49.4767386;Rincon Latino;;;;
567194178;11.0110722;49.4500327;Höfener Garten;Nürnberg;Höfener Straße;90431;184
570772853;11.1290765;49.4273372;Kolonie;;;;
575009370;10.9721122;49.4815545;Wilhelmshöhe;;;;
575100589;10.9917960;49.4715914;Pinzimonio;;;;
583307081;11.0589817;49.4677681;Forum di Roma;;;;
596931024;11.1193058;49.4756903;Klingenwald 3;;;;
610477214;11.0853740;49.4491565;asia city express;;;;
617505837;11.0631796;49.4476545;Prisma;Nürnberg;Rothenburger Straße;90443;9
617506242;11.0713768;49.4388632;Deutscher Michel;;;;
630739328;10.9792652;49.5128574;Pizzeria Emozioni;;;;
635920162;11.0992538;49.4552336;Il Gladiatore;Nürnberg;Bartholomäusstraße;90489;
655252424;10.9965337;49.4847008;Zum Sportpark;Fürth;Erlanger Straße;90765;95
660520131;11.0563091;49.4839230;Brothers;;;;
662497510;11.0727160;49.4562970;Antipasteria;Nürnberg;Radbrunnengasse;90403;2
662793258;10.9857647;49.4824237;Schützenhaus;;;;
662793269;10.9862029;49.4823347;XXL House Fürth;;;;
663037504;11.0733513;49.4488301;O'sha;Nürnberg;Jakobstraße;90402;
663040582;11.0743006;49.4572238;Augustiner Zur Schranke;Nürnberg;Beim Tiergärtnertor;90403;3
663410487;10.9883157;49.4563718;Der kleine Inder;;;;
663428814;11.0507264;49.4500249;weinstockwerk;Nürnberg;Glockendonstraße;90429;30
671472125;11.1270888;49.4577970;paparazzi;Nürnberg;Ostendstraße;90482;196
672900283;10.9619093;49.4412034;MarktLoft Restaurant & Bar;;;;
677581289;10.9791070;49.5063529;Restaurant Waldschänke "bei Jorgo";Fürth;An der Waldschänke;90765;1
677588010;10.9747555;49.5133486;Goldener Engel;;;;
680967671;11.0504725;49.5195499;Zum grünen Baum;;;;
682317901;11.0679140;49.4261900;Aufgetischt!;;;;
684321802;11.0750240;49.4479719;Aumer's la Vie;Nürnberg;Kartäusergasse;90402;12
684323025;10.9957197;49.4706254;Chilli's;;;;
693036797;11.0521511;49.4435712;Ristorante „La tavola calda“;;;;
693036812;11.0372241;49.4497153;Transilvania „La Ovidiu“;;;;
693412723;11.0559759;49.4510428;Nazar Kebap Haus;;;;
695697622;11.0633888;49.4701192;Thoner Gärtla;;;;
695698600;11.0582701;49.4836556;Asia Restaurant Sunrise;Nürnberg;Staffelsteiner Straße;90425;3
703778664;11.0760510;49.4533908;Osteria;Nürnberg;Winklerstraße;90403;3
708035256;11.1054029;49.4150800;Genossenschaftssaalbau;Nürnberg;Matthäus-Herrmann-Platz;90471;2
708684832;11.0160675;49.4146956;Il Pollino;Stein;Hauptstraße;90547;20
715362998;11.1138133;49.4536505;Osteria Elisa;Nürnberg;Ostendstraße;90482;74
724118623;11.0026285;49.4700011;Gasthaus Prinzregent;;;;
725550789;11.0756198;49.4499565;Pizza Hut;Nürnberg;Breite Gasse;90402;35
725550792;11.0766858;49.4500689;Asia;Nürnberg;Breite Gasse;90402;16
725550793;11.0788326;49.4472715;Gasthof Schwänlein;Nürnberg;Hintere Sterngasse;90402;11
725550801;11.0808173;49.4475485;La Terrazza;;;;
725550805;11.0777112;49.4496560;Tokyo Sushi;Nürnberg;Pfannenschmiedsgasse;90402;18
730701385;11.0341810;49.4141535;Sportgaststätte TSV Südwest-Nürnberg;;;;
747236527;11.0474925;49.5218967;Zur alten Tenne;Nürnberg;Untere Dorfstraße;90427;40
747281235;11.1093429;49.5040651;Girasole;;;;
763527069;11.1280550;49.4750288;Lichtblick;;;;
773158091;11.0695113;49.4481857;Nitri Bizz;;;;
773165940;11.0708689;49.4483010;Zum Gulden Stern;Nürnberg;Zirkelschmiedsgasse;90402;26
774494547;11.0135604;49.4126787;La Cuisin;;;;
775655341;11.0799412;49.4490681;Maredo;Nürnberg;Königstraße;90402;57-59
775683896;11.0807166;49.4493043;Cera Una Volta;Nürnberg;Johannesgasse;90402;51
775694290;11.0799884;49.4496385;Böhm's Herrenkeller;Nürnberg;Theatergasse;90402;19
775703030;11.0800340;49.4497333;Padelle d'Italia;Nürnberg;Theatergasse;90402;17
775874028;11.0805089;49.4480943;Hans im Glück;Nürnberg;Königstraße;90402;74
775972744;11.0802189;49.4478515;KOKORO;Nürnberg;Luitpoldstraße;90402;3
779795642;10.9687776;49.4369784;Lichtblick;;;;
779795756;10.9572056;49.4298152;Trattoria Foro Romano;Oberasbach;Oberasbacher Straße;90522;2a
789914980;11.0760586;49.4491792;Tawan Thai;Nürnberg;Kornmarkt;90402;4
789950893;11.0764750;49.4491869;Indigo;Nürnberg;Kornmarkt;90402;2
789996366;11.0774701;49.4488071;Wacht am Rhein;Nürnberg;Klaragasse;90402;22
792617040;11.0767165;49.4503214;Bratwurstherzle;Nürnberg;Brunnengasse;90402;11
792641747;11.0759039;49.4519788;Tapasitos;Nürnberg;Adlerstraße;90403;
792651546;11.0761833;49.4519533;Zur Baumwolle;Nürnberg;Adlerstraße;90403;18
792654073;11.0764122;49.4519868;Mykonos;;;;
792682875;11.0776224;49.4511180;Nassauer Keller;Nürnberg;Karolinenstraße;90402;
794007156;10.9426285;49.4303929;Burgschänke;;;;
794057667;10.9774194;49.4792661;Al Forno;;;;
794209198;11.1050826;49.4881822;Grüne Au - Zum Brezenwirt;Nürnberg;Ziegelsteinstraße;90411;195
794513311;11.1289510;49.4101792;Il Mondo;;;;
794513316;11.1240602;49.4126725;Speisegaststätte Brunnenhof;;;;
795919826;11.0749003;49.4475435;Bocksbeutel Stuben;;;;
795942829;11.0730198;49.4488253;Estragon;Nürnberg;Jakobstraße;90402;19
795955770;11.0739654;49.4476892;Kolping-Haus;;;;
795963810;11.0720953;49.4477471;CôDung;Nürnberg;Färberstraße;90402;43
795963811;11.0742617;49.4492757;La Fiamma;;Dr.-Kurt-Schumacher-Straße;;2
795963824;11.0787182;49.4496282;Dinea;;;;
797451102;10.9581675;49.4225151;Schwarzes Kreuz;;;;
797451103;10.9578890;49.4224181;Gasthof Kettler;;;;
797805236;11.0707674;49.4494391;Steichele;Nürnberg;Knorrstraße;90402;8
797805243;11.0711284;49.4492716;Katzenhäusl;;;;
797806708;11.0708984;49.4481722;Minneci;;;;
797813118;11.0705041;49.4478960;Taberna Fantastica;Nürnberg;Pfeifergasse;90402;13
797841458;11.0707714;49.4483417;fischer;Nürnberg;Schottengasse;90402;1
797842968;11.0684277;49.4488613;Peking;Nürnberg;Ludwigstraße;90402;55
797844073;11.0676937;49.4494328;Bäckerhof;Nürnberg;Schlehengasse;90402;2
797844076;11.0673393;49.4496438;mariposa;;Mostgasse;;6
797938631;11.0813768;49.4520862;Vischer's;Nürnberg;Peter-Vischer-Straße;90403;1
797938632;11.0817368;49.4520804;Zeit & Raum;Nürnberg;Wespennest;90403;2
798449677;11.0800262;49.4509907;Lorenz;Nürnberg;Lorenzer Platz;90402;23
798449746;11.0838593;49.4520482;American Diner;;;;
798449750;11.0843053;49.4521204;Trattoria;Nürnberg;Gewerbemuseumsplatz;90403;3
798626117;11.0779408;49.4517049;Admiral-Cafe;;;;
798629184;11.0780559;49.4516584;Sky-Bar;;;;
838051156;11.0667752;49.4714596;El Coyote;Nürnberg;Äußere Bucher Straße;90425;5
838645090;11.0115716;49.4776444;Café-Bistro Big Apple;Fürth;Heinrich-Stranka-Straße;90765;20
839832720;11.0640166;49.4557127;eleon;Nürnberg;Kleinweidenmühle;90419;5
845315100;10.9884626;49.4557602;Holmbecks;;;;
846287575;11.0691289;49.4630874;Refugium;Nürnberg;Rieterstraße;90419;15
846287579;11.0692264;49.4628157;Da Ugo;Nürnberg;Rückertstraße;90419;11
848467314;11.0766129;49.4535864;Restaurant Oberkrainer am Hauptmarkt;Nürnberg;Hauptmarkt;90403;7
856330312;11.0218719;49.4716374;Thai Food;;;;
856544658;11.0722323;49.4607720;Burgbräustübl;Nürnberg;Jagdstraße;90419;1
856544700;11.0721157;49.4609752;Eiscafe/Ristorante Mario;Nürnberg;Bucher Straße;90419;35
857181416;11.0901284;49.4593722;Pizzeria da Giovanni;Nürnberg;Bayreuther Straße;90409;13a
886626323;11.1132082;49.4444088;Gleißhammer Bräustüberl;;;;
893372142;11.1008327;49.4649588;Zum Welser;;;;
901179637;10.9885250;49.4555909;Sushi Fürth;Fürth;Schwabacher Straße;90763;264
901598582;11.0177264;49.4153685;Altes Spital;Stein;Alter Kirchplatz;90547;4
906640584;11.1053789;49.4647456;Fränkisches Wirtshäusla;Nürnberg;Bismarckstraße;90491;43
907951835;11.1360121;49.4137006;Sirtaki;;;;
918713194;10.9824861;49.4802182;Kulturforum;;;;
920036056;10.9550979;49.4389803;Rialto;Zirndorf;Volkhardtstraße;90513;9
920538517;11.0166456;49.4287248;Zum Krähenwald;Nürnberg;Willstätterstraße;90449;4
924554087;11.0874418;49.4639441;Grevena;Nürnberg;Parkstraße;90409;7
924554164;11.0868697;49.4644409;China Imbiss Kim Mai;Nürnberg;Löbleinstraße;90409;40
925161539;10.9482028;49.4532093;Waldrestaurant;Zirndorf;Am Achterplätzchen;90513;5
930305005;10.9534523;49.4137566;Zur frischen Quelle;Oberasbach;Rehdorfer Straße;90522;8
930305097;10.9527549;49.4132436;Zur Jägerstube;Oberasbach;Rehdorfer Straße;90522;19
931884694;11.0813001;49.4416451;Mesob;;Pillenreuther Straße;;20
934783844;10.9804457;49.4355846;Irodion;Oberasbach;Nürnberger Straße;90522;3a
949822538;11.0813075;49.4475712;Bratwurstglöcklein;Nürnberg;Königs- und Frauentorzwinger;90402;5
958195297;11.0982255;49.4551097;Apple;Nürnberg;Untere Zwingerstraße;90489;9
973821510;11.0579535;49.4455979;Lotos Naturkostladen;Nürnberg;Hessestraße;90443;4
984693760;11.0537441;49.4524365;Asialand;;Bärenschanzstraße;;83
990157523;11.0174883;49.4143234;Gewölbe zum Rednitzgrund;;;;
1000675367;11.0319919;49.4599142;Akimoto;Nürnberg;Fürther Straße;90429;244b
1011893948;11.0457513;49.4315383;Cala Luna;Nürnberg;Schweinauer Hauptstraße;90441;62
1016271983;10.9726070;49.4780636;;;;;
1019768402;11.0556244;49.4519577;Kyklos;Nürnberg;Bärenschanzstraße;90429;65
1023793223;11.0993890;49.4650163;Xinh Sushi;Nürnberg;Praunstraße;90489;20
1119909645;10.9883921;49.4792088;Pizza-Bar;Fürth;Gustavstraße;90762;39
1120010757;10.9860322;49.4794550;Made in Italy;Fürth;Königstraße;90762;44
1125959163;11.0880428;49.4541242;Müller's Restaurant;Nürnberg;Keßlerstraße;90489;4
1142007006;11.0736576;49.4555679;Prison Saint Michel;Nürnberg;Irrerstraße;90403;2
1166182801;11.0757596;49.4545611;Il Rossini;;;;
1166646998;11.0163695;49.4148578;Restaurant Poseidon;;;;
1166654017;11.0078313;49.4805525;Restaurant im Adler Modemarkt;;;;
1206994109;11.0793289;49.4141247;Haltestell';;Julius-Loßmann-Straße;;40
1236572558;11.0995023;49.4604453;Royal Tandoori;Nürnberg;Fenitzerstraße;90489;12
1240638416;10.9911256;49.4606534;Spizzi;Fürth;Steubenstraße;90763;22
1262004544;10.9884087;49.4561838;DANAI;Fürth;Schwabacher Straße;90763;256
1266807475;11.0909401;49.4604434;Pizza Italia;Nürnberg;Veillodterstraße;90409;33
1269807907;10.9682529;49.5023384;China-Haus;;;;
1269807910;10.9639956;49.5046687;Fortezza;Fürth;Melli-Beese-Straße;;19
1305553521;11.0782236;49.4452000;Del Centro;Nürnberg;Eilgutstraße;90443;10
1346756789;11.0770466;49.4534415;Provenza;Nürnberg;Hauptmarkt;90403;6-8
1370487498;11.1163171;49.4550768;Pho Hanoi;Nürnberg;Ostendstraße;90482;97
1370541718;11.1287223;49.4453727;Zabo Park;Nürnberg;Bingstraße;90480;1
1372298653;11.0772738;49.4549312;Zum Spießgesellen;Nürnberg;Rathausplatz;90403;4
